Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-SRW - CHICAGO BOARD OF TRADE,260421,2026-04-21,001602,CBT ,0,1,452052,51831,102637,93818,19027,9154,96306,104690,101422,24718,41871,41811,419060,420612,32992,31440,56151,11790,15734,3396,3037,42,16100,18332,1037,16165,12296,1097,49627,51575,6524,4576,395901,40041,86903,93893,19461,5641,96910,103062,83681,26616,47638,22651,369433,369037,26468,26864,  -13485,   -5104,   -9410,    3496,      69,   -2397,   -5816,   -2982,    3421,   -2149,    2188,   -3420,  -11969,  -12531,   -1516,    -954,100.0,11.5,22.7,20.8,4.2,2.0,21.3,23.2,22.4,5.5,9.3,9.2,92.7,93.0,7.3,7.0,100.0,21.0,28.0,6.0,5.4,0.1,28.7,32.6,1.8,28.8,21.9,2.0,88.4,91.9,11.6,8.1,100.0,10.1,22.0,23.7,4.9,1.4,24.5,26.0,21.1,6.7,12.0,5.7,93.3,93.2,6.7,6.8,373,     66,     95,     22,      8,     16,     63,     57,     64,     56,     46,     53,286,276,202,     31,     45,     14,      6,.,     21,     19,      5,     33,     37,.,105,109,    356,     55,     90,     18,     10,     13,     61,     58,     60,     57,     44,     36,    251,    258,13.1,12.2,21.4,21.7,9.8,9.2,16.6,15.0,32.6,34.1,43.7,46.7,32.6,33.0,43.7,44.1,14.9,11.3,24.4,21.2,11.8,9.8,19.5,17.3,"(CONTRACTS OF 5,000 BUSHELS)",001602,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,260421,2026-04-21,001612,CBT ,0,1,293233,32181,122022,80468,5631,7698,72047,40642,52607,5543,22610,22119,272663,273329,20570,19904,29870,8426,12606,3733,6212,0,10537,5834,489,2971,1972,5,26161,27118,3709,2752,263363,23755,109416,82883,5567,1550,63616,36914,50012,5261,23327,19425,246502,246211,16861,17152,   -4551,   -7230,    9659,    3831,    1064,   -1589,    8184,   -3766,  -12426,    -806,     -86,    3654,   -6382,   -3490,    1831,   -1061,100.0,11.0,41.6,27.4,1.9,2.6,24.6,13.9,17.9,1.9,7.7,7.5,93.0,93.2,7.0,6.8,100.0,28.2,42.2,12.5,20.8,0.0,35.3,19.5,1.6,9.9,6.6,0.0,87.6,90.8,12.4,9.2,100.0,9.0,41.5,31.5,2.1,0.6,24.2,14.0,19.0,2.0,8.9,7.4,93.6,93.5,6.4,6.5,261,     56,     78,     19,      7,     11,     58,     32,     49,     19,     31,     29,201,190,134,     29,     41,      8,      7,      0,     18,     12,.,     12,     12,.,68,74,    253,     48,     76,     18,      8,      7,     58,     31,     45,     14,     32,     25,    182,    182,15.0,16.1,24.7,28.2,10.5,14.2,19.5,22.2,23.6,32.6,39.8,50.1,23.6,32.6,39.8,49.6,16.7,17.8,27.4,31.3,13.5,16.7,23.9,25.8,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRSpring - MIAX FUTURES EXCHANGE,260421,2026-04-21,001626,MGE ,0,1,77419,27635,58534,3790,189,297,24100,3081,1612,5561,898,2928,65923,67539,11496,9880,50973,14665,39726,2434,467,1,20331,2477,352,5470,1651,312,43565,44986,7408,5987,26446,12970,18808,1634,0,18,4605,1440,424,1455,611,1252,22358,22553,4088,3893,    3227,   -1428,    5855,    1205,     -12,      60,    1610,   -1438,   -1016,     267,    -573,     742,    1440,    3618,    1787,    -391,100.0,35.7,75.6,4.9,0.2,0.4,31.1,4.0,2.1,7.2,1.2,3.8,85.2,87.2,14.8,12.8,100.0,28.8,77.9,4.8,0.9,0.0,39.9,4.9,0.7,10.7,3.2,0.6,85.5,88.3,14.5,11.7,100.0,49.0,71.1,6.2,0.0,0.1,17.4,5.4,1.6,5.5,2.3,4.7,84.5,85.3,15.5,14.7,102,     43,     42,      4,.,.,     14,     10,      8,      9,      5,      9,80,70,101,     37,     39,      4,.,.,     14,      9,      4,      8,      7,.,66,62,     72,     28,     31,      4,      0,.,      6,      5,.,      7,      4,      5,     50,     44,24.1,35.7,40.0,52.5,24.1,35.0,40.0,49.4,34.0,41.4,50.4,56.5,34.0,41.4,49.6,56.3,32.8,41.0,46.0,53.7,31.1,41.0,42.8,51.1,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
CORN - CHICAGO BOARD OF TRADE,260421,2026-04-21,002602,CBT ,0,2,1831968,388549,899557,333604,30841,27438,327557,145344,270435,152953,71434,189251,1689787,1634300,142181,197668,1216345,281144,541288,247603,7002,21550,260520,247522,109382,136349,129199,58160,1114708,1114103,101637,102242,615623,107405,358269,89754,27592,2135,214234,45019,13856,115241,40872,32454,575079,520197,40544,95426,   -2185,  -24534,   -9158,   12390,    3072,    -408,   30363,     768,  -16503,   -8896,    5848,   13874,    6286,   -2507,   -8471,     322,100.0,21.2,49.1,18.2,1.7,1.5,17.9,7.9,14.8,8.3,3.9,10.3,92.2,89.2,7.8,10.8,100.0,23.1,44.5,20.4,0.6,1.8,21.4,20.3,9.0,11.2,10.6,4.8,91.6,91.6,8.4,8.4,100.0,17.4,58.2,14.6,4.5,0.3,34.8,7.3,2.3,18.7,6.6,5.3,93.4,84.5,6.6,15.5,826,    296,    336,     30,      8,     19,     97,     54,     88,    121,     76,     90,643,595,773,    275,    306,     31,      7,     14,     81,     64,     66,    112,     71,     57,560,532,    613,    126,    292,     25,      6,      5,     67,     22,     28,     67,     76,     40,    324,    433,11.4,10.8,19.4,18.3,9.1,8.4,14.5,13.6,12.6,14.0,20.5,20.6,11.3,12.0,18.7,17.6,23.4,14.4,32.4,24.0,23.3,14.4,32.4,23.5,"(CONTRACTS OF 5,000 BUSHELS)",002602,CBT ,2,A10,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,260421,2026-04-21,005602,CBT ,0,5,1000958,284381,568393,153010,51904,13395,219043,31470,118643,67158,43585,90871,946501,918261,54457,82697,594643,171042,359738,92949,31195,5887,152180,54518,46427,63639,28065,28901,561025,554731,33618,39912,406315,113339,208655,61671,22319,5898,101128,11217,37951,17458,29459,48031,385476,363530,20839,42785,    1049,   -3767,   -6355,  -12819,    -328,    2221,   13034,   -6458,   -1448,   -4630,    5438,   10083,    2674,    3153,   -1625,   -2104,100.0,28.4,56.8,15.3,5.2,1.3,21.9,3.1,11.9,6.7,4.4,9.1,94.6,91.7,5.4,8.3,100.0,28.8,60.5,15.6,5.2,1.0,25.6,9.2,7.8,10.7,4.7,4.9,94.3,93.3,5.7,6.7,100.0,27.9,51.4,15.2,5.5,1.5,24.9,2.8,9.3,4.3,7.3,11.8,94.9,89.5,5.1,10.5,636,    166,    250,     24,     16,     24,    108,     35,     76,     82,     73,     91,478,489,596,    142,    237,     23,     16,     15,     98,     39,     58,     75,     72,     56,398,437,    480,     92,    209,     20,     15,     14,     60,     22,     37,     49,     67,     55,    279,    373,9.7,15.1,16.6,24.1,9.2,13.8,15.5,20.8,11.7,18.7,20.0,28.3,11.4,16.9,19.4,25.2,13.3,13.1,22.1,21.8,13.0,11.9,20.9,19.3,"(CONTRACTS OF 5,000 BUSHELS)",005602,CBT ,5,A30,FutOnly
NJ SRECS - ICE FUTURES ENERGY DIV,260421,2026-04-21,0063CC,IFED,1,6,147229,107102,76335,9760,3550,0,0,740,0,25545,61782,4822,147229,147229,0,0,147229,107102,76335,9760,3550,0,0,740,0,25545,61782,4822,147229,147229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,100.0,72.7,51.8,6.6,2.4,0.0,0.0,0.5,0.0,17.4,42.0,3.3,100.0,100.0,0.0,0.0,100.0,72.7,51.8,6.6,2.4,0.0,0.0,0.5,0.0,17.4,42.0,3.3,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,     16,     11,.,.,      0,      0,.,      0,      6,      5,.,24,22,36,     16,     11,.,.,      0,      0,.,      0,      6,      5,.,24,22,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,59.9,77.4,81.8,89.2,59.9,77.4,81.0,85.4,59.9,77.4,81.8,89.2,59.9,77.4,81.0,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(10 SRECs),0063CC,IFED,6,N60,FutOnly
PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV,260421,2026-04-21,0063CH,IFED,1,6,283461,209506,184015,13786,7500,0,188,4047,2978,38905,66828,18075,283438,283443,23,18,283461,209506,184015,13786,7500,0,188,4047,2978,38905,66828,18075,283438,283443,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     479,     611,     -16,       0,       0,       0,       0,       0,       0,     129,     756,    -261,     479,     479,       0,       0,100.0,73.9,64.9,4.9,2.6,0.0,0.1,1.4,1.1,13.7,23.6,6.4,100.0,100.0,0.0,0.0,100.0,73.9,64.9,4.9,2.6,0.0,0.1,1.4,1.1,13.7,23.6,6.4,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,     20,     17,.,.,      0,.,.,.,      9,      7,      8,38,34,50,     20,     17,.,.,      0,.,.,.,      9,      7,      8,38,34,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,41.9,51.3,66.9,72.5,34.7,50.8,57.5,68.9,41.9,51.3,66.9,72.5,34.7,50.8,57.5,68.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(100 MWh of renewable energy certificates),0063CH,IFED,6,N60,FutOnly
CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV,260421,2026-04-21,0063CU,IFED,1,6,104005,6177,85229,31037,1295,0,64611,31,550,1579,16870,30,103984,104005,21,0,104005,6177,85229,31037,1295,0,64611,31,550,1579,16870,30,103984,104005,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -709,     -81,    -843,       0,      75,       0,    -536,     -60,       0,     -85,     119,       0,    -702,    -709,      -7,       0,100.0,5.9,81.9,29.8,1.2,0.0,62.1,0.0,0.5,1.5,16.2,0.0,100.0,100.0,0.0,0.0,100.0,5.9,81.9,29.8,1.2,0.0,62.1,0.0,0.5,1.5,16.2,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,      9,      9,      5,.,      0,     12,.,.,     10,      4,.,38,18,52,      9,      9,      5,.,      0,     12,.,.,     10,      4,.,38,18,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,63.2,86.9,84.6,97.6,62.7,86.7,84.1,97.4,63.2,86.9,84.6,97.6,62.7,86.7,84.1,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(100 LCFS Credits- each of 1 MT),0063CU,IFED,6,N60,FutOnly
D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV,260421,2026-04-21,0063CW,IFED,1,6,21690,4000,8133,1560,3845,5,5763,1742,722,7627,5138,1889,21566,21474,124,216,21690,4000,8133,1560,3845,5,5763,1742,722,7627,5138,1889,21566,21474,124,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    -414,     353,     136,     475,      42,       0,   -1029,    -133,      78,    -407,    -718,     124,    -406,    -471,      -8,      57,100.0,18.4,37.5,7.2,17.7,0.0,26.6,8.0,3.3,35.2,23.7,8.7,99.4,99.0,0.6,1.0,100.0,18.4,37.5,7.2,17.7,0.0,26.6,8.0,3.3,35.2,23.7,8.7,99.4,99.0,0.6,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,     10,     11,.,.,.,      5,      7,.,     17,     18,     10,41,46,71,     10,     11,.,.,.,      5,      7,.,     17,     18,     10,41,46,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,51.7,46.0,72.8,62.6,47.7,46.0,67.0,60.9,51.7,46.0,72.8,62.6,47.7,46.0,67.0,60.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(50,000 RINs)",0063CW,IFED,6,N60,FutOnly
PA SOLAR ALTER ENERGY CREDIT - ICE FUTURES ENERGY DIV,260421,2026-04-21,0063DA,IFED,1,6,20555,13480,19455,1290,0,0,0,0,0,5785,1100,0,20555,20555,0,0,20555,13480,19455,1290,0,0,0,0,0,5785,1100,0,20555,20555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,100.0,65.6,94.6,6.3,0.0,0.0,0.0,0.0,0.0,28.1,5.4,0.0,100.0,100.0,0.0,0.0,100.0,65.6,94.6,6.3,0.0,0.0,0.0,0.0,0.0,28.1,5.4,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,      8,      7,.,      0,      0,      0,      0,      0,      5,.,      0,16,10,25,      8,      7,.,      0,      0,      0,      0,      0,      5,.,      0,16,10,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,55.8,89.2,85.6,98.9,55.8,87.5,85.6,97.2,55.8,89.2,85.6,98.9,55.8,87.5,85.6,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(10 PA SRECs),0063DA,IFED,6,N60,FutOnly
